Table 13,,,,,,,,,,,,,
CALIFORNIA,, ,,,,,,,,,,,
Hate Crime Incidents,,,,,,,,,,,,,
"per Bias Motivation and Quarter
",,,,,,,,,,,,,
"by Agency, 2013",,,,,,,,,,,,,
Agency type,Agency name,Number of incidents per bias motivation,,,,,,,Number of incidents per quarter1,,,,Population2
,,Race,Religion,"Sexual
orientation",Ethnicity,Disability,Gender,"Gender
Identity","1st
quarter","2nd
quarter","3rd
quarter","4th
quarter",
Total,,374,129,217,115,1,0,7,,,,,
Cities,,291,117,166,87,1,0,6,,,,,
,Adelanto,1,0,0,1,0,0,0,1,0,1,0,"31,165"
,Agoura Hills,2,0,0,0,0,0,0,0,2,0,0,"20,762"
,Alameda,0,1,0,0,0,0,0,0,0,0,1,"76,206"
,Alhambra,1,0,0,0,0,0,0,0,0,0,1,"84,710"
,Antioch,2,0,0,0,0,0,0,1,1,0,0,"106,447"
,Arcadia,1,0,0,0,0,0,0,1,0,0,0,"57,855"
,Atascadero,1,0,0,1,0,0,0,0,0,1,1,"28,938"
,Atwater,0,0,0,1,0,0,0,0,1,0,0,"28,906"
,Auburn,1,0,0,0,0,0,0,0,1,0,0,"13,779"
,Azusa,1,0,0,0,0,0,0,0,0,1,0,"47,754"
,Bakersfield,2,1,0,0,0,0,0,0,0,2,1,"361,859"
,Baldwin Park,0,0,1,0,0,0,0,0,0,1,0,"76,745"
,Banning,0,0,0,1,0,0,0,0,0,1,0,"30,503"
,Berkeley,7,1,4,1,0,0,0,6,2,4,1,"116,217"
,Beverly Hills,0,1,0,0,0,0,0,1,0,0,0,"34,780"
,Brentwood3,4,0,0,0,0,0,0,0,1,2,1,"54,301"
,Buena Park3,0,0,1,1,0,0,0,0,1,0,1,"82,632"
,Burbank,1,1,2,1,0,0,0,1,2,2,0,"104,727"
,Calabasas,0,2,0,0,0,0,0,1,0,0,1,"24,114"
,Camarillo,2,1,0,0,0,0,0,1,1,1,0,"66,173"
,Campbell,1,0,0,0,0,0,0,0,1,0,0,"40,549"
,Carlsbad,1,1,0,1,0,0,0,0,0,3,0,"110,505"
,Carson,1,0,0,0,0,0,0,0,0,0,1,"93,415"
,Cerritos,3,0,0,0,0,0,0,1,0,0,2,"49,816"
,Chico,1,3,0,0,0,0,0,1,2,0,1,"88,226"
,Chino,2,2,2,3,0,0,0,2,2,3,2,"80,704"
,Chula Vista,3,0,1,0,0,0,0,0,3,0,1,"255,073"
,Citrus Heights,1,0,0,0,0,0,0,0,1,0,0,"85,337"
,Claremont,1,1,1,0,0,0,0,2,0,0,1,"35,623"
,Clearlake,1,0,1,0,0,0,0,1,0,0,1,"14,951"
,Clovis,0,1,2,1,0,0,0,0,1,1,2,"99,483"
,Colton,1,0,0,0,0,0,0,0,0,0,1,"53,403"
,Compton,1,0,1,0,0,0,0,0,1,0,1,"97,907"
,Concord,1,0,0,0,0,0,0,0,1,0,0,"125,464"
,Corcoran,1,0,0,0,0,0,0,0,0,1,0,"23,290"
,Corona,0,0,0,1,0,0,0,0,0,0,1,"160,159"
,Coronado,0,1,0,0,0,0,0,1,0,0,0,"23,183"
,Costa Mesa,1,0,0,0,0,0,0,0,0,0,1,"112,538"
,Covina,0,2,1,0,0,0,0,0,3,0,0,"48,524"
,Cupertino,0,0,0,0,0,0,1,0,0,0,1,"60,440"
,Cypress,0,0,0,1,0,0,0,0,0,1,0,"49,067"
,Daly City,0,2,1,0,0,0,0,1,0,1,1,"104,536"
,Dana Point,0,1,0,0,0,0,0,0,1,0,0,"34,262"
,Davis,2,1,4,1,0,0,0,3,4,0,1,"66,126"
,Duarte,1,0,1,0,0,0,0,1,0,1,0,"21,759"
,El Cajon,1,0,0,1,0,0,0,0,1,0,1,"102,012"
,El Cerrito,0,2,1,4,0,0,0,3,1,2,1,"24,184"
,Elk Grove,1,0,0,0,0,0,0,0,0,0,1,"160,925"
,El Monte,5,0,0,0,0,0,0,0,3,0,2,"115,591"
,Emeryville,1,0,0,0,0,0,0,0,1,0,0,"10,415"
,Encinitas,2,1,0,1,0,0,0,2,1,1,0,"61,433"
,Escondido,4,1,1,2,0,0,0,2,2,3,1,"148,650"
,Eureka,1,0,1,0,0,0,0,1,1,0,0,"26,881"
,Fairfield,2,0,0,1,0,0,0,1,0,0,2,"108,425"
,Fontana,1,0,0,0,0,0,0,0,1,0,0,"203,427"
,Foster City,1,0,0,0,0,0,0,1,0,0,0,"32,652"
